Species,Date,DOB,Age,Weight (g),Sex,Tibial leg length (mm),Peroneal leg length (mm),Sural leg length (mm),Foot length (mm),D1 length (mm),D2-4 length (mm),D5 length (mm)
Lewis,3-Jul,11-Jan,24.71428571,,F,52,62,55,22,3,12,8
Lewis,3-Jul,11-Jan,24.71428571,,F,52,59,54,22,3,14,8
Lewis,10-Jul,11-Jan,25.71428571,,F,53,66,56,22,4,15,9
Lewis,10-Jul,11-Jan,25.71428571,,F,49,58,52,21,4,15,9
SD,20-Aug,17-Jun,9.142857143,354,M,48,58,52,22,6,19,11
SD,16-Sep,17-Jun,13,510,M,58,69,60,22,8,18,11
SD,17-Sep,17-Jun,13.14285714,558,M,56,69,57,20,8,20,15
SD,23-Sep,17-Jun,14,475,M,58,67,60,21,9,23,14
SD,24-Sep,22-Jul,9.142857143,346,M,51,65,56,20,8,21,12
SD,30-Sep,22-Jul,10,259,F,47,57,49,20,8,19,11
SD,8-Oct,22-Jul,11.14285714,450,M,51,60,53,20,8,21,13
SD,3-Nov,22-Jul,14.85714286,313,F,51,62,54,20,7,18,11
SD,3-Nov,29-Jul,13.85714286,305,F,54,62,49,22,6,16,10
SD,3-Nov,29-Jul,13.85714286,281,F,42,51,43,20,6,17,10
