,animal_id,unit_id,test_id,sex,unit_type,conduction_velocity,a,a_std,k,k_std,c,c_std,rmse
0,hff11,hff11_3,long-duration_electrical_50.0~-1.0_1.0,F,,11.314957005787607,0.20333298351560913,0.010275000205403737,0.1121714635156988,0.06428129361745541,0.7966670164843909,,0.16719923256959274
1,hff19,hff19_5,long-duration_electrical_50.0~-1.0_1.0,M,Ad,14.40682945536253,0.07174530166786496,0.004105871817190542,0.023021819655674264,0.006128382798896779,0.928254698332135,,0.048287290119783
2,hff05,hff05_2,long-duration_electrical_50.0~-1.0_1.0,M,Ad,15.127191242303578,0.016123543717880367,0.0021896851759281273,1.2148192829594875,6.05539491519544,0.9838764562821196,,0.03760884259141712
3,hff20,hff20_1,long-duration_electrical_50.0~-1.0_1.0,F,SA,17.951329875519964,0.431417545884774,0.009058392820081963,0.018344225818424424,0.0015434116587634725,0.568582454115226,,0.09222697665109822
4,hff10,hff10_1,long-duration_electrical_50.0~-1.0_1.0,F,FA,17.98280010269721,0.596494589183115,0.008264865198735764,0.019848580077265834,0.0011617693769637749,0.40350541081688496,,0.08896321609006246
5,hff19,hff19_3,long-duration_electrical_50.0~-1.0_1.0,M,FA,19.745486271016695,0.7622973501602122,0.002331181367363709,0.2571026156306883,0.013674433371926835,0.23770264983978784,,0.03925209565401962
6,hff11,hff11_2,long-duration_electrical_50.0~-1.0_1.0,F,FA,22.135128780021784,0.5259527214724691,0.00272754194933957,0.1110061968619802,0.00649337060950815,0.4740472785275309,,0.04435469713388323
7,hff19,hff19_2,long-duration_electrical_50.0~-1.0_1.0,M,SA,23.202329105578443,6.455870661336418e-10,inf,0.11591500130082018,inf,0.999999999354413,,6.315098626699249e-10
8,hff11,hff11_1,long-duration_electrical_50.0~-1.0_1.0,F,FA,25.854068427202865,0.6543565671546656,0.00258755476109892,0.07755010537838494,0.002861398487802238,0.3456434328453344,,0.04091016511057437
9,hff16,hff16_1,long-duration_electrical_50.0~-1.0_1.0,M,SA,28.430261549470504,0.8506308304406996,0.0029317994260875243,0.3151119751145238,0.020943755788603382,0.14936916955930035,,0.0495968599351347
