,animal_id,unit_id,test_id,trial_id,sex,unit_type,conduction_velocity,absolute_charge,response_probability_all,response_probability_initial,amplitude
0,hff19,hff19_5,amplitude_electrical_100.0~-1.0_0.5,hff19_5_amplitude_electrical_100.0~-1.0_0.5_0,M,Ad,14.40682945536253,60.0,0.0,0.0,0.5
1,hff05,hff05_2,amplitude_electrical_100.0~-1.0_0.5,hff05_2_amplitude_electrical_100.0~-1.0_0.5_0,M,Ad,15.127191242303578,90.0,0.0,0.0,0.5
2,hff02,hff02_2,amplitude_electrical_100.0~-1.0_0.5,hff02_2_amplitude_electrical_100.0~-1.0_0.5_0,M,SA,15.836799519853214,330.0,0.0,0.0,0.5
3,hff05,hff05_1,amplitude_electrical_100.0~-1.0_0.5,hff05_1_amplitude_electrical_100.0~-1.0_0.5_1,M,,16.38792783763195,90.0,0.0,0.0,0.5
4,hff20,hff20_1,amplitude_electrical_100.0~-1.0_0.5,hff20_1_amplitude_electrical_100.0~-1.0_0.5_0,F,SA,17.951329875519964,90.0,0.0,0.0,0.5
5,hff10,hff10_1,amplitude_electrical_100.0~-1.0_0.5,hff10_1_amplitude_electrical_100.0~-1.0_0.5_0,F,FA,17.98280010269721,30.0,0.0,0.0,0.5
6,hff19,hff19_3,amplitude_electrical_100.0~-1.0_0.5,hff19_3_amplitude_electrical_100.0~-1.0_0.5_0,M,FA,19.745486271016695,300.0,0.0,0.0,0.5
7,hff11,hff11_2,amplitude_electrical_100.0~-1.0_0.5,hff11_2_amplitude_electrical_100.0~-1.0_0.5_0,F,FA,22.135128780021784,180.0,0.0,0.0,0.5
8,hff02,hff02_1,amplitude_electrical_100.0~-1.0_0.5,hff02_1_amplitude_electrical_100.0~-1.0_0.5_0,M,FA,22.20494034099179,120.0,0.0,0.0,0.5
9,hff19,hff19_2,amplitude_electrical_100.0~-1.0_0.5,hff19_2_amplitude_electrical_100.0~-1.0_0.5_0,M,SA,23.202329105578443,90.0,0.0,0.0,0.5
10,hff12,hff12_1,amplitude_electrical_100.0~-1.0_0.5,hff12_1_amplitude_electrical_100.0~-1.0_0.5_1,F,Ad,24.451816072112912,60.0,0.0,0.0,0.5
11,hff11,hff11_1,amplitude_electrical_100.0~-1.0_0.5,hff11_1_amplitude_electrical_100.0~-1.0_0.5_0,F,FA,25.854068427202865,180.0,0.0,0.0,0.5
12,hff11,hff11_1,amplitude_electrical_100.0~-1.0_0.5,hff11_1_amplitude_electrical_100.0~-1.0_0.5_1,F,FA,25.854068427202865,180.0,0.0,0.0,0.5
13,hff16,hff16_1,amplitude_electrical_100.0~-1.0_0.5,hff16_1_amplitude_electrical_100.0~-1.0_0.5_0,M,SA,28.430261549470504,210.0,0.0,0.0,0.5
14,hff08,hff08_1,amplitude_electrical_100.0~-1.0_0.5,hff08_1_amplitude_electrical_100.0~-1.0_0.5_0,F,FA,31.187411911603604,90.0,0.0,0.0,0.5
15,hff03,hff03_3,amplitude_electrical_100.0~-1.0_0.5,hff03_3_amplitude_electrical_100.0~-1.0_0.5_0,F,FA,32.67135269699128,150.0,0.0,0.0,0.5
16,hff19,hff19_5,amplitude_electrical_100.0~-1.0_0.8,hff19_5_amplitude_electrical_100.0~-1.0_0.8_0,M,Ad,14.40682945536253,96.00000000000001,1.0,1.0,0.8
17,hff05,hff05_2,amplitude_electrical_100.0~-1.0_0.8,hff05_2_amplitude_electrical_100.0~-1.0_0.8_0,M,Ad,15.127191242303578,144.0,0.51,0.7666666666666667,0.8
18,hff02,hff02_2,amplitude_electrical_100.0~-1.0_0.8,hff02_2_amplitude_electrical_100.0~-1.0_0.8_0,M,SA,15.836799519853214,528.0000000000001,0.0,0.0,0.8
19,hff05,hff05_1,amplitude_electrical_100.0~-1.0_0.8,hff05_1_amplitude_electrical_100.0~-1.0_0.8_1,M,,16.38792783763195,144.0,0.0,0.0,0.8
20,hff20,hff20_1,amplitude_electrical_100.0~-1.0_0.8,hff20_1_amplitude_electrical_100.0~-1.0_0.8_0,F,SA,17.951329875519964,144.0,0.93,1.0,0.8
21,hff10,hff10_1,amplitude_electrical_100.0~-1.0_0.8,hff10_1_amplitude_electrical_100.0~-1.0_0.8_0,F,FA,17.98280010269721,48.00000000000001,0.0,0.0,0.8
22,hff19,hff19_3,amplitude_electrical_100.0~-1.0_0.8,hff19_3_amplitude_electrical_100.0~-1.0_0.8_0,M,FA,19.745486271016695,480.0,0.0,0.0,0.8
23,hff11,hff11_2,amplitude_electrical_100.0~-1.0_0.8,hff11_2_amplitude_electrical_100.0~-1.0_0.8_0,F,FA,22.135128780021784,288.0,0.0,0.0,0.8
24,hff02,hff02_1,amplitude_electrical_100.0~-1.0_0.8,hff02_1_amplitude_electrical_100.0~-1.0_0.8_0,M,FA,22.20494034099179,192.00000000000003,0.0,0.0,0.8
25,hff19,hff19_2,amplitude_electrical_100.0~-1.0_0.8,hff19_2_amplitude_electrical_100.0~-1.0_0.8_0,M,SA,23.202329105578443,144.0,0.38,0.6666666666666666,0.8
26,hff12,hff12_1,amplitude_electrical_100.0~-1.0_0.8,hff12_1_amplitude_electrical_100.0~-1.0_0.8_1,F,Ad,24.451816072112912,96.00000000000001,1.0,1.0,0.8
27,hff11,hff11_1,amplitude_electrical_100.0~-1.0_0.8,hff11_1_amplitude_electrical_100.0~-1.0_0.8_0,F,FA,25.854068427202865,288.0,0.0,0.0,0.8
28,hff11,hff11_1,amplitude_electrical_100.0~-1.0_0.8,hff11_1_amplitude_electrical_100.0~-1.0_0.8_1,F,FA,25.854068427202865,288.0,0.0,0.0,0.8
29,hff16,hff16_1,amplitude_electrical_100.0~-1.0_0.8,hff16_1_amplitude_electrical_100.0~-1.0_0.8_0,M,SA,28.430261549470504,335.99999999999994,0.0,0.0,0.8
30,hff08,hff08_1,amplitude_electrical_100.0~-1.0_0.8,hff08_1_amplitude_electrical_100.0~-1.0_0.8_0,F,FA,31.187411911603604,144.0,0.0,0.0,0.8
31,hff03,hff03_3,amplitude_electrical_100.0~-1.0_0.8,hff03_3_amplitude_electrical_100.0~-1.0_0.8_0,F,FA,32.67135269699128,240.0,0.006666666666666667,0.0,0.8
32,hff19,hff19_5,amplitude_electrical_100.0~-1.0_1.0,hff19_5_amplitude_electrical_100.0~-1.0_1.0_0,M,Ad,14.40682945536253,120.0,0.99,1.0,1.0
33,hff05,hff05_2,amplitude_electrical_100.0~-1.0_1.0,hff05_2_amplitude_electrical_100.0~-1.0_1.0_0,M,Ad,15.127191242303578,180.0,0.9933333333333333,1.0,1.0
34,hff02,hff02_2,amplitude_electrical_100.0~-1.0_1.0,hff02_2_amplitude_electrical_100.0~-1.0_1.0_0,M,SA,15.836799519853214,660.0,0.09666666666666666,0.16666666666666666,1.0
35,hff05,hff05_1,amplitude_electrical_100.0~-1.0_1.0,hff05_1_amplitude_electrical_100.0~-1.0_1.0_1,M,,16.38792783763195,180.0,0.42333333333333334,0.7333333333333333,1.0
36,hff20,hff20_1,amplitude_electrical_100.0~-1.0_1.0,hff20_1_amplitude_electrical_100.0~-1.0_1.0_0,F,SA,17.951329875519964,180.0,0.9633333333333334,1.0,1.0
37,hff10,hff10_1,amplitude_electrical_100.0~-1.0_1.0,hff10_1_amplitude_electrical_100.0~-1.0_1.0_0,F,FA,17.98280010269721,60.0,0.6,0.8666666666666667,1.0
38,hff19,hff19_3,amplitude_electrical_100.0~-1.0_1.0,hff19_3_amplitude_electrical_100.0~-1.0_1.0_0,M,FA,19.745486271016695,600.0,0.43,0.8,1.0
39,hff11,hff11_2,amplitude_electrical_100.0~-1.0_1.0,hff11_2_amplitude_electrical_100.0~-1.0_1.0_0,F,FA,22.135128780021784,360.0,0.85,1.0,1.0
40,hff02,hff02_1,amplitude_electrical_100.0~-1.0_1.0,hff02_1_amplitude_electrical_100.0~-1.0_1.0_0,M,FA,22.20494034099179,240.0,0.2833333333333333,0.3333333333333333,1.0
41,hff19,hff19_2,amplitude_electrical_100.0~-1.0_1.0,hff19_2_amplitude_electrical_100.0~-1.0_1.0_0,M,SA,23.202329105578443,180.0,1.0,1.0,1.0
42,hff12,hff12_1,amplitude_electrical_100.0~-1.0_1.0,hff12_1_amplitude_electrical_100.0~-1.0_1.0_1,F,Ad,24.451816072112912,120.0,1.0,1.0,1.0
43,hff11,hff11_1,amplitude_electrical_100.0~-1.0_1.0,hff11_1_amplitude_electrical_100.0~-1.0_1.0_0,F,FA,25.854068427202865,360.0,0.41,0.8,1.0
44,hff11,hff11_1,amplitude_electrical_100.0~-1.0_1.0,hff11_1_amplitude_electrical_100.0~-1.0_1.0_1,F,FA,25.854068427202865,360.0,0.48,0.8333333333333334,1.0
45,hff16,hff16_1,amplitude_electrical_100.0~-1.0_1.0,hff16_1_amplitude_electrical_100.0~-1.0_1.0_0,M,SA,28.430261549470504,420.0,0.2833333333333333,0.6,1.0
46,hff08,hff08_1,amplitude_electrical_100.0~-1.0_1.0,hff08_1_amplitude_electrical_100.0~-1.0_1.0_0,F,FA,31.187411911603604,180.0,0.68,0.9666666666666667,1.0
47,hff03,hff03_3,amplitude_electrical_100.0~-1.0_1.0,hff03_3_amplitude_electrical_100.0~-1.0_1.0_0,F,FA,32.67135269699128,300.0,1.0,1.0,1.0
48,hff19,hff19_5,amplitude_electrical_100.0~-1.0_1.2,hff19_5_amplitude_electrical_100.0~-1.0_1.2_0,M,Ad,14.40682945536253,144.0,0.9733333333333334,1.0,1.2
49,hff05,hff05_2,amplitude_electrical_100.0~-1.0_1.2,hff05_2_amplitude_electrical_100.0~-1.0_1.2_0,M,Ad,15.127191242303578,216.0,0.99,1.0,1.2
50,hff02,hff02_2,amplitude_electrical_100.0~-1.0_1.2,hff02_2_amplitude_electrical_100.0~-1.0_1.2_0,M,SA,15.836799519853214,792.0,1.0,1.0,1.2
51,hff05,hff05_1,amplitude_electrical_100.0~-1.0_1.2,hff05_1_amplitude_electrical_100.0~-1.0_1.2_1,M,,16.38792783763195,216.0,1.0,1.0,1.2
