,animal_id,unit_id,test_id,trial_id,sex,unit_type,conduction_velocity,absolute_charge,response_probability_all,response_probability_initial,frequency
0,hff19,hff19_5,frequency_electrical_10.0~-1.0_1.0,hff19_5_frequency_electrical_10.0~-1.0_1.0_0,M,Ad,14.40682945536253,12.0,1.0,1.0,10
1,hff05,hff05_2,frequency_electrical_10.0~-1.0_1.0,hff05_2_frequency_electrical_10.0~-1.0_1.0_1,M,Ad,15.127191242303578,18.0,1.0,1.0,10
2,hff02,hff02_2,frequency_electrical_10.0~-1.0_1.0,hff02_2_frequency_electrical_10.0~-1.0_1.0_0,M,SA,15.836799519853214,66.0,0.9,0.9,10
3,hff05,hff05_1,frequency_electrical_10.0~-1.0_1.0,hff05_1_frequency_electrical_10.0~-1.0_1.0_1,M,,16.38792783763195,18.0,1.0,1.0,10
4,hff20,hff20_1,frequency_electrical_10.0~-1.0_1.0,hff20_1_frequency_electrical_10.0~-1.0_1.0_0,F,SA,17.951329875519964,18.0,1.0,1.0,10
5,hff10,hff10_1,frequency_electrical_10.0~-1.0_1.0,hff10_1_frequency_electrical_10.0~-1.0_1.0_0,F,FA,17.98280010269721,6.0,1.0,1.0,10
6,hff13,hff13_2,frequency_electrical_10.0~-1.0_1.0,hff13_2_frequency_electrical_10.0~-1.0_1.0_0,F,FA,18.868919131922272,12.0,1.0,1.0,10
7,hff19,hff19_3,frequency_electrical_10.0~-1.0_1.0,hff19_3_frequency_electrical_10.0~-1.0_1.0_0,M,FA,19.745486271016695,60.0,1.0,1.0,10
8,hff11,hff11_2,frequency_electrical_10.0~-1.0_1.0,hff11_2_frequency_electrical_10.0~-1.0_1.0_0,F,FA,22.135128780021784,36.0,1.0,1.0,10
9,hff02,hff02_1,frequency_electrical_10.0~-1.0_1.0,hff02_1_frequency_electrical_10.0~-1.0_1.0_0,M,FA,22.20494034099179,24.0,1.0,1.0,10
10,hff19,hff19_2,frequency_electrical_10.0~-1.0_1.0,hff19_2_frequency_electrical_10.0~-1.0_1.0_0,M,SA,23.202329105578443,18.0,1.0,1.0,10
11,hff12,hff12_1,frequency_electrical_10.0~-1.0_1.0,hff12_1_frequency_electrical_10.0~-1.0_1.0_1,F,Ad,24.451816072112912,12.0,1.0,1.0,10
12,hff11,hff11_1,frequency_electrical_10.0~-1.0_1.0,hff11_1_frequency_electrical_10.0~-1.0_1.0_0,F,FA,25.854068427202865,36.0,1.0,1.0,10
13,hff15,hff15_1,frequency_electrical_10.0~-1.0_1.0,hff15_1_frequency_electrical_10.0~-1.0_1.0_1,M,,28.103205149979775,24.0,1.0,1.0,10
14,hff16,hff16_1,frequency_electrical_10.0~-1.0_1.0,hff16_1_frequency_electrical_10.0~-1.0_1.0_0,M,SA,28.430261549470504,42.0,1.0,1.0,10
15,hff08,hff08_1,frequency_electrical_10.0~-1.0_1.0,hff08_1_frequency_electrical_10.0~-1.0_1.0_0,F,FA,31.187411911603604,18.0,0.3,0.3,10
16,hff03,hff03_3,frequency_electrical_10.0~-1.0_1.0,hff03_3_frequency_electrical_10.0~-1.0_1.0_1,F,FA,32.67135269699128,30.0,1.0,1.0,10
17,hff19,hff19_5,frequency_electrical_25.0~-1.0_1.0,hff19_5_frequency_electrical_25.0~-1.0_1.0_0,M,Ad,14.40682945536253,30.0,1.0,1.0,25
18,hff05,hff05_2,frequency_electrical_25.0~-1.0_1.0,hff05_2_frequency_electrical_25.0~-1.0_1.0_1,M,Ad,15.127191242303578,45.0,0.9866666666666667,1.0,25
19,hff02,hff02_2,frequency_electrical_25.0~-1.0_1.0,hff02_2_frequency_electrical_25.0~-1.0_1.0_0,M,SA,15.836799519853214,165.0,0.9733333333333334,1.0,25
20,hff05,hff05_1,frequency_electrical_25.0~-1.0_1.0,hff05_1_frequency_electrical_25.0~-1.0_1.0_1,M,,16.38792783763195,45.0,0.9866666666666667,1.0,25
21,hff20,hff20_1,frequency_electrical_25.0~-1.0_1.0,hff20_1_frequency_electrical_25.0~-1.0_1.0_0,F,SA,17.951329875519964,45.0,1.0,1.0,25
