,animal_id,unit_id,test_id,trial_id,sex,unit_type,test,stimulus,conduction_velocity,response_probability
0,hff19,hff19_5,nine-one_electrical_90.0~10.0_1.0,hff19_5_nine-one_electrical_90.0~10.0_1.0_0,M,Ad,nine-one,electrical,14.40682945536253,0.9962962962962963
1,hff19,hff19_5,frequency_electrical_100.0~-1.0_1.0,hff19_5_frequency_electrical_100.0~-1.0_1.0_0,M,Ad,frequency,electrical,14.40682945536253,0.86
2,hff05,hff05_2,nine-one_electrical_90.0~10.0_1.0,hff05_2_nine-one_electrical_90.0~10.0_1.0_0,M,Ad,nine-one,electrical,15.127191242303578,0.9925925925925926
3,hff05,hff05_2,frequency_electrical_100.0~-1.0_1.0,hff05_2_frequency_electrical_100.0~-1.0_1.0_1,M,Ad,frequency,electrical,15.127191242303578,0.9833333333333333
4,hff05,hff05_1,nine-one_electrical_90.0~10.0_1.0,hff05_1_nine-one_electrical_90.0~10.0_1.0_0,M,,nine-one,electrical,16.38792783763195,0.3148148148148148
5,hff05,hff05_1,frequency_electrical_100.0~-1.0_1.0,hff05_1_frequency_electrical_100.0~-1.0_1.0_1,M,,frequency,electrical,16.38792783763195,0.47333333333333333
6,hff20,hff20_1,nine-one_electrical_90.0~10.0_1.0,hff20_1_nine-one_electrical_90.0~10.0_1.0_0,F,SA,nine-one,electrical,17.951329875519964,1.0
7,hff20,hff20_1,frequency_electrical_100.0~-1.0_1.0,hff20_1_frequency_electrical_100.0~-1.0_1.0_0,F,SA,frequency,electrical,17.951329875519964,0.9866666666666667
8,hff10,hff10_1,nine-one_electrical_90.0~10.0_1.0,hff10_1_nine-one_electrical_90.0~10.0_1.0_0,F,FA,nine-one,electrical,17.98280010269721,0.8037037037037037
9,hff10,hff10_1,frequency_electrical_100.0~-1.0_1.0,hff10_1_frequency_electrical_100.0~-1.0_1.0_0,F,FA,frequency,electrical,17.98280010269721,0.6133333333333333
10,hff19,hff19_3,nine-one_electrical_90.0~10.0_1.0,hff19_3_nine-one_electrical_90.0~10.0_1.0_0,M,FA,nine-one,electrical,19.745486271016695,0.5222222222222223
11,hff19,hff19_3,frequency_electrical_100.0~-1.0_1.0,hff19_3_frequency_electrical_100.0~-1.0_1.0_0,M,FA,frequency,electrical,19.745486271016695,0.43666666666666665
12,hff11,hff11_2,nine-one_electrical_90.0~10.0_1.0,hff11_2_nine-one_electrical_90.0~10.0_1.0_0,F,FA,nine-one,electrical,22.135128780021784,0.9814814814814815
13,hff11,hff11_2,frequency_electrical_100.0~-1.0_1.0,hff11_2_frequency_electrical_100.0~-1.0_1.0_0,F,FA,frequency,electrical,22.135128780021784,0.2833333333333333
14,hff02,hff02_1,nine-one_electrical_90.0~10.0_1.0,hff02_1_nine-one_electrical_90.0~10.0_1.0_0,M,FA,nine-one,electrical,22.20494034099179,0.6259259259259259
15,hff02,hff02_1,frequency_electrical_100.0~-1.0_1.0,hff02_1_frequency_electrical_100.0~-1.0_1.0_0,M,FA,frequency,electrical,22.20494034099179,0.49333333333333335
16,hff19,hff19_2,nine-one_electrical_90.0~10.0_1.0,hff19_2_nine-one_electrical_90.0~10.0_1.0_0,M,SA,nine-one,electrical,23.202329105578443,1.0
17,hff19,hff19_2,frequency_electrical_100.0~-1.0_1.0,hff19_2_frequency_electrical_100.0~-1.0_1.0_0,M,SA,frequency,electrical,23.202329105578443,1.0
18,hff11,hff11_1,nine-one_electrical_90.0~10.0_1.0,hff11_1_nine-one_electrical_90.0~10.0_1.0_0,F,FA,nine-one,electrical,25.854068427202865,0.5814814814814815
19,hff11,hff11_1,frequency_electrical_100.0~-1.0_1.0,hff11_1_frequency_electrical_100.0~-1.0_1.0_0,F,FA,frequency,electrical,25.854068427202865,0.7333333333333333
20,hff16,hff16_1,nine-one_electrical_90.0~10.0_1.0,hff16_1_nine-one_electrical_90.0~10.0_1.0_0,M,SA,nine-one,electrical,28.430261549470504,0.46296296296296297
21,hff16,hff16_1,frequency_electrical_100.0~-1.0_1.0,hff16_1_frequency_electrical_100.0~-1.0_1.0_0,M,SA,frequency,electrical,28.430261549470504,0.2866666666666667
22,hff19,hff19_5,nine-one_electrical_90.0~10.0_1.0,hff19_5_nine-one_electrical_90.0~10.0_1.0_0,M,Ad,nine-one,mechanical,14.40682945536253,0.23333333333333334
23,hff19,hff19_5,frequency_mechanical_10.0~-1.0_1.0,hff19_5_frequency_mechanical_10.0~-1.0_1.0_0,M,Ad,frequency,mechanical,14.40682945536253,1.0
24,hff05,hff05_2,nine-one_electrical_90.0~10.0_1.0,hff05_2_nine-one_electrical_90.0~10.0_1.0_0,M,Ad,nine-one,mechanical,15.127191242303578,1.0
