"frequency","Slope of conduction_velocity","Lower","Upper","Significance"
-56.2090176684306,-0.0423126487052399,-0.0798594203884892,-0.00476587702199063,"Significant"
-55.8862768923176,-0.0421925501798199,-0.0796889768841765,-0.00469612347546326,"Significant"
-55.5635361162047,-0.0420724516543999,-0.0795185814269996,-0.00462632188180017,"Significant"
-55.2407953400917,-0.0419523531289799,-0.0793482342108265,-0.00455647204713321,"Significant"
-54.9180545639787,-0.0418322546035598,-0.0791779354303824,-0.00448657377673727,"Significant"
-54.5953137878657,-0.0417121560781398,-0.0790076852812526,-0.00441662687502704,"Significant"
-54.2725730117528,-0.0415920575527198,-0.0788374839598859,-0.00434663114555374,"Significant"
-53.9498322356398,-0.0414719590272998,-0.0786673316635977,-0.0042765863910019,"Significant"
-53.6270914595268,-0.0413518605018798,-0.0784972285905735,-0.00420649241318612,"Significant"
-53.3043506834138,-0.0412317619764598,-0.0783271749398718,-0.00413634901304778,"Significant"
-52.9816099073009,-0.0411116634510398,-0.0781571709114277,-0.00406615599065186,"Significant"
-52.6588691311879,-0.0409915649256198,-0.0779872167060559,-0.00399591314518363,"Significant"
-52.3361283550749,-0.0408714664001997,-0.077817312525454,-0.00392562027494546,"Significant"
-52.0133875789619,-0.0407513678747797,-0.0776474585722059,-0.00385527717735359,"Significant"
-51.690646802849,-0.0406312693493597,-0.0774776550497846,-0.00378488364893485,"Significant"
-51.367906026736,-0.0405111708239397,-0.0773079021625559,-0.00371443948532348,"Significant"
-51.045165250623,-0.0403910722985197,-0.0771382001157815,-0.00364394448125787,"Significant"
-50.72242447451,-0.0402709737730997,-0.076968549115622,-0.00357339843057736,"Significant"
-50.3996836983971,-0.0401508752476797,-0.0767989493691403,-0.00350280112621898,"Significant"
-50.0769429222841,-0.0400307767222597,-0.076629401084305,-0.00343215236021429,"Significant"
-49.7542021461711,-0.0399106781968396,-0.0764599044699931,-0.00336145192368616,"Significant"
-49.4314613700581,-0.0397905796714196,-0.0762904597359937,-0.00329069960684552,"Significant"
-49.1087205939452,-0.0396704811459996,-0.076121067093011,-0.00321989519898822,"Significant"
-48.7859798178322,-0.0395503826205796,-0.0759517267526674,-0.00314903848849177,"Significant"
-48.4632390417192,-0.0394302840951596,-0.0757824389275069,-0.00307812926281226,"Significant"
-48.1404982656063,-0.0393101855697396,-0.0756132038309981,-0.00300716730848103,"Significant"
-47.8177574894933,-0.0391900870443196,-0.0754440216775375,-0.00293615241110164,"Significant"
-47.4950167133803,-0.0390699885188995,-0.0752748926824525,-0.00286508435534659,"Significant"
-47.1722759372673,-0.0389498899934795,-0.0751058170620048,-0.00279396292495424,"Significant"
-46.8495351611544,-0.0388297914680595,-0.0749367950333934,-0.00272278790272563,"Significant"
-46.5267943850414,-0.0387096929426395,-0.0747678268147577,-0.00265155907052132,"Significant"
-46.2040536089284,-0.0385895944172195,-0.0745989126251808,-0.00258027620925825,"Significant"
-45.8813128328154,-0.0384694958917995,-0.0744300526846923,-0.00250893909890666,"Significant"
-45.5585720567025,-0.0383493973663795,-0.074261247214272,-0.0024375475184869,"Significant"
-45.2358312805895,-0.0382292988409595,-0.0740924964358525,-0.00236610124606642,"Significant"
-44.9130905044765,-0.0381092003155394,-0.0739238005723223,-0.00229460005875659,"Significant"
-44.5903497283635,-0.0379891017901194,-0.0737551598475292,-0.00222304373270963,"Significant"
-44.2676089522506,-0.0378690032646994,-0.0735865744862833,-0.00215143204311556,"Significant"
-43.9448681761376,-0.0377489047392794,-0.0734180447143597,-0.0020797647641991,"Significant"
-43.6221274000246,-0.0376288062138594,-0.0732495707585021,-0.00200804166921666,"Significant"
-43.2993866239116,-0.0375087076884394,-0.0730811528464255,-0.00193626253045325,"Significant"
-42.9766458477987,-0.0373886091630194,-0.0729127912068192,-0.00186442711921948,"Significant"
-42.6539050716857,-0.0372685106375994,-0.0727444860693502,-0.00179253520584854,"Significant"
-42.3311642955727,-0.0371484121121793,-0.0725762376646654,-0.00172058655969323,"Significant"
-42.0084235194597,-0.0370283135867593,-0.0724080462243958,-0.00164858094912287,"Significant"
-41.6856827433468,-0.0369082150613393,-0.0722399119811582,-0.00157651814152044,"Significant"
-41.3629419672338,-0.0367881165359193,-0.072071835168559,-0.00150439790327959,"Significant"
-41.0402011911208,-0.0366680180104993,-0.0719038160211969,-0.00143221999980164,"Significant"
-40.7174604150078,-0.0365479194850793,-0.0717358547746658,-0.00135998419549271,"Significant"
-40.3947196388949,-0.0364278209596593,-0.0715679516655577,-0.00128769025376081,"Significant"
-40.0719788627819,-0.0363077224342393,-0.0714001069314656,-0.00121533793701289,"Significant"
-39.7492380866689,-0.0361876239088192,-0.0712323208109864,-0.00114292700665204,"Significant"
-39.4264973105559,-0.0360675253833992,-0.0710645935437239,-0.00107045722307456,"Significant"
-39.103756534443,-0.0359474268579792,-0.0708969253702913,-0.000997928345667157,"Significant"
-38.78101575833,-0.0358273283325592,-0.0707293165323143,-0.000925340132804091,"Significant"
-38.458274982217,-0.0357072298071392,-0.0705617672724339,-0.000852692341844444,"Significant"
-38.1355342061041,-0.0355871312817192,-0.0703942778343091,-0.00077998472912922,"Significant"
-37.8127934299911,-0.0354670327562992,-0.0702268484626196,-0.000707217049978684,"Significant"
-37.4900526538781,-0.0353469342308792,-0.0700594794030687,-0.00063438905868958,"Significant"
-37.1673118777651,-0.0352268357054591,-0.0698921709023859,-0.000561500508532389,"Significant"
-36.8445711016522,-0.0351067371800391,-0.0697249232083296,-0.000488551151748666,"Significant"
-36.5218303255392,-0.0349866386546191,-0.0695577365696899,-0.000415540739548352,"Significant"
-36.1990895494262,-0.0348665401291991,-0.0693906112362911,-0.000342469022107113,"Significant"
-35.8763487733132,-0.0347464416037791,-0.0692235474589945,-0.000269335748563707,"Significant"
-35.5536079972003,-0.0346263430783591,-0.0690565454897008,-0.000196140667017383,"Significant"
-35.2308672210873,-0.0345062445529391,-0.0688896055813528,-0.000122883524525323,"Significant"
-34.9081264449743,-0.034386146027519,-0.068722727987938,-4.95640671000566e-05,"Significant"
-34.5853856688613,-0.034266047502099,-0.0685559129644911,2.38179602930627e-05,"Insignificant"
-34.2626448927484,-0.034145948976679,-0.0683891607670964,9.72628137383483e-05,"Insignificant"
-33.9399041166354,-0.034025850451259,-0.0682224716528903,0.000170770750372251,"Insignificant"
-33.6171633405224,-0.033905751925839,-0.0680558458800638,0.000244342028385844,"Insignificant"
-33.2944225644094,-0.033785653400419,-0.0678892837078652,0.000317976907027166,"Insignificant"
-32.9716817882965,-0.033665554874999,-0.0677227853966016,0.000391675646603702,"Insignificant"
-32.6489410121835,-0.033545456349579,-0.0675563512076426,0.000465438508484677,"Insignificant"
-32.3262002360705,-0.0334253578241589,-0.0673899814034213,0.00053926575510338,"Insignificant"
-32.0034594599575,-0.0333052592987389,-0.0672236762474374,0.000613157649959534,"Insignificant"
-31.6807186838446,-0.0331851607733189,-0.0670574360042593,0.000687114457621443,"Insignificant"
-31.3579779077316,-0.0330650622478989,-0.0668912609395262,0.000761136443728369,"Insignificant"
-31.0352371316186,-0.0329449637224789,-0.0667251513199504,0.000835223874992595,"Insignificant"
-30.7124963555056,-0.0328248651970589,-0.0665591074133194,0.000909377019201664,"Insignificant"
-30.3897555793927,-0.0327047666716389,-0.0663931294884982,0.000983596145220499,"Insignificant"
-30.0670148032797,-0.0325846681462189,-0.0662272178154312,0.00105788152299349,"Insignificant"
-29.7442740271667,-0.0324645696207988,-0.0660613726651442,0.00113223342354654,"Insignificant"
-29.4215332510538,-0.0323444710953788,-0.0658955943097468,0.00120665211898912,"Insignificant"
-29.0987924749408,-0.0322243725699588,-0.0657298830224338,0.00128113788251622,"Insignificant"
-28.7760516988278,-0.0321042740445388,-0.0655642390774879,0.00135569098841032,"Insignificant"
-28.4533109227148,-0.0319841755191188,-0.0653986627502808,0.00143031171204323,"Insignificant"
-28.1305701466019,-0.0318640769936988,-0.0652331543172756,0.00150500032987808,"Insignificant"
-27.8078293704889,-0.0317439784682788,-0.0650677140560286,0.00157975711947102,"Insignificant"
-27.4850885943759,-0.0316238799428587,-0.0649023422451906,0.00165458235947308,"Insignificant"
-27.1623478182629,-0.0315037814174387,-0.0647370391645094,0.00172947632963188,"Insignificant"
-26.83960704215,-0.0313836828920187,-0.0645718050948308,0.00180443931079335,"Insignificant"
-26.516866266037,-0.0312635843665987,-0.0644066403181008,0.00187947158490332,"Insignificant"
