unit_id,unit_type,conduction_velocity,response_probability_all_100Hz,cv_normal_mean_100 Hz,c_5 min
hff11_3,IN,11.31495701,,,0.796667016
hff19_5,HT,14.40682946,0.86,-0.044949762,0.928254698
hff05_2,HT,15.12719124,0.983333333,-0.045400527,0.983933333
hff02_2,SA,15.83679952,0.493333333,-0.022197408,
hff05_1,IN,16.38792784,0.473333333,-0.028811603,
hff20_1,SA,17.95132988,0.986666667,-0.03140622,0.568582454
hff10_1,FA,17.9828001,0.613333333,-0.023504567,0.403505411
hff13_2,FA,18.86891913,1,-0.02573588,
hff19_3,FA,19.74548627,0.436666667,-0.020877041,0.23770265
hff11_2,FA,22.13512878,0.283333333,-0.016051685,0.474047279
hff02_1,FA,22.20494034,0.493333333,-0.011423776,
hff19_2,SA,23.20232911,1,-0.025668318,1
hff12_1,HT,24.45181607,1,-0.018825682,
hff15_1,IN,28.10320515,1,-0.018469044,
hff16_1,SA,28.43026155,0.286666667,-0.022530023,0.14936917
hff08_1,FA,31.18741191,0.666666667,-0.030330085,
hff03_3,FA,32.6713527,1,-0.030823006,
hff11_1,FA,25.85406843,0.733333333,,0.345643433
